Municipio,M1_V,M1_a,M1_r,M1_ndR,M1_nd,M1_nm,M2_V,M2_a,M2_r,M2_ndR,M2_nd,M2_nm,M3_V,M3_a,M3_r,M3_ndR,M3_nd,M3_nm,M4_V,M4_a,M4_r,M4_ndR,M4_nd,M4_nm,M5_V,M5_a,M5_r,M5_ndR,M5_nd,M5_nm,M6_V,M6_a,M6_r,M6_ndR,M6_nd,M6_nm,M7_V,M7_a,M7_r,M7_ndR,M7_nd,M7_nm,M8_V,M8_a,M8_r,M8_ndR,M8_nd,M8_nm,T_v,T_a,T_r,T_ndR,T_nd,T_nm
Acatlán,0.0,2.0,10.0,0.0,0.0,8.0,1.0,3.0,7.0,0.0,0.0,8.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,6.0,92.0,1.0,13.0,17.0
Acaxochitlán,20.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,2.0,11.0,4.0,0.0,3.0,0.0,0.0,13.0,1.0,0.0,1.0,3.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,107.0,10.0,0.0,7.0,5.0,2.0
Actopan,4.0,12.0,4.0,0.0,0.0,0.0,10.0,2.0,4.0,3.0,0.0,0.0,5.0,2.0,7.0,3.0,1.0,0.0,4.0,7.0,1.0,0.0,6.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,5.0,16.0,3.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,2.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,34.0,50.0,32.0,6.0,9.0,0.0
Agua Blanca de Iturbide,3.0,9.0,3.0,0.0,0.0,5.0,8.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,10.0,0.0,0.0,2.0,8.0,0.0,1.0,0.0,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,12.0,20.0,71.0,0.0,14.0,14.0
Ajacuba,2.0,4.0,10.0,0.0,0.0,4.0,1.0,4.0,4.0,3.0,0.0,7.0,0.0,3.0,7.0,7.0,1.0,0.0,0.0,4.0,4.0,1.0,9.0,0.0,0.0,2.0,8.0,0.0,1.0,0.0,2.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0,26.0,63.0,11.0,13.0,13.0
Alfajayucan,14.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,6.0,3.0,1.0,13.0,0.0,1.0,0.0,6.0,4.0,2.0,0.0,6.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,4.0,4.0,16.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,2.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,40.0,23.0,46.0,7.0,9.0,6.0
Almoloya,14.0,5.0,1.0,0.0,0.0,0.0,14.0,0.0,2.0,3.0,0.0,0.0,4.0,10.0,4.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,7.0,0.0,2.0,4.0,5.0,0.0,0.0,0.0,14.0,3.0,7.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,63.0,34.0,24.0,3.0,7.0,0.0
Apan,16.0,0.0,0.0,0.0,0.0,4.0,9.0,1.0,3.0,3.0,0.0,3.0,1.0,7.0,2.0,7.0,1.0,0.0,8.0,5.0,0.0,0.0,5.0,0.0,3.0,6.0,1.0,0.0,1.0,0.0,6.0,11.0,7.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,56.0,35.0,15.0,10.0,8.0,7.0
Atitalaquia,3.0,4.0,9.0,0.0,0.0,4.0,10.0,2.0,2.0,3.0,0.0,2.0,4.0,6.0,1.0,7.0,0.0,0.0,1.0,1.0,8.0,0.0,8.0,0.0,0.0,1.0,9.0,0.0,1.0,0.0,1.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,22.0,27.0,55.0,10.0,11.0,6.0
Atlapexco,5.0,6.0,6.0,0.0,0.0,3.0,9.0,5.0,3.0,0.0,0.0,2.0,0.0,7.0,10.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,10.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,4.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,23.0,39.0,50.0,0.0,14.0,5.0
